 4.64372594  4.64372594  4.64372594 90.         90.         90.        
C  0. 0. 0.
C  1.45344974 1.45344974 1.45344974
C  3.1902762  3.1902762  1.45344974
C  3.1902762  1.45344974 3.1902762 
C  1.45344974 3.1902762  3.1902762 
C  -0.65462873  2.32186297  2.32186297
C  0.65462873 2.32186297 2.32186297
C   2.32186297 -0.65462873  2.32186297
C  2.32186297 0.65462873 2.32186297
C   2.32186297  2.32186297 -0.65462873
C  2.32186297 2.32186297 0.65462873
-82.07984589
44 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40 bandenergy41 bandenergy42 bandenergy43 bandenergy44
0.0 0.0 0.0 -14.699164511882502 -10.01466338180221 -10.014663381802183 -9.435851867394655 -9.435851867394634 -9.435851867394609 -6.381210688705533 -2.928947448692864 -2.928947448692845 -2.9289474486928295 -2.8322113619985285 -2.117194568023599 -2.1171945680235726 -2.117194568023554 0.46407802885813626 0.4640780288581421 2.410037217162871 2.410037217162888 2.410037217162925 4.071164602633621 5.012245551159735 5.0122455511597375 5.012245551159753 7.6270970149081165 7.627097014908122 7.627097014908134 9.376963275312887 9.376963275312924 9.376963275312958 11.769921402627249 11.76992140262727 13.780102961721727 15.737554380275018 15.737554380275053 15.737554380275062 18.4585947322213 18.458594732221325 18.458594732221368 18.515146361948755 18.51514636194901 18.515146361949125 19.831763330816585 19.831763330816585 19.876208393469156 
0.0 0.0625 0.0 -14.687112570564635 -10.218963686800834 -10.013644552137343 -9.431317250616804 -9.431317250616749 -9.237912391318824 -6.360898070012755 -3.0379001890900406 -2.999305513946912 -2.9993055139469056 -2.7098679385015902 -2.1216200674991867 -2.06376346187798 -2.063763461877896 0.4134093497461704 0.46863671816653163 2.4153157870386615 2.4692164140289563 2.469216414028967 3.9380123357219925 4.993696871468046 4.993696871468088 5.159936451203346 7.613125556501791 7.652123396114652 7.652123396114661 9.308119648049543 9.308119648049589 9.376057204748996 11.80698479307717 11.821744946105156 13.791590334196059 15.746194704450435 15.746194704450444 15.758135343268359 18.39861332072678 18.468271718188415 18.48389789982839 18.48389789982841 18.538179229903758 18.538179229904166 19.775172819442844 19.80152102823547 19.87378920403283 
0.0 0.125 0.0 -14.65191605837363 -10.566297378911742 -10.011835493757784 -9.419719356972998 -9.41971935697297 -8.907425300018339 -6.301914830253996 -3.167082341134135 -3.167082341134109 -3.159812864160106 -2.548047387552211 -2.140944344399856 -1.9513810983285662 -1.9513810983285629 0.2630114607176376 0.4752328710723976 2.428428366556872 2.6389896130019532 2.638989613001961 3.6724255850566516 4.938510633088452 4.938510633088473 5.465885302626694 7.568176352063357 7.718199919301913 7.718199919301931 9.104438248517678 9.1044382485177 9.371691769555813 11.912458215243756 11.974517553540709 13.82314331846459 15.768286368605837 15.768286368605956 15.825419175368745 18.206726655093146 18.32435115122173 18.48805671395917 18.488056713959573 18.665317405906134 18.66531740590656 19.628664555796437 19.71071819765456 19.877566955334384 
0.0 0.1875 0.0 -14.596348180210573 -10.91975659439438 -10.007950466655263 -9.400511457755833 -9.400511457755774 -8.58513956191091 -6.211296111546012 -3.3691599477646745 -3.369159947764653 -3.242936948019201 -2.3916760485043898 -2.16836205685962 -1.8307468167066296 -1.8307468167066185 0.0219889357350876 0.48561614491600275 2.437091422496245 2.9031678947106316 2.903167894710638 3.4037233255040853 4.866371059632337 4.866371059632375 5.803383082235298 7.49760166473476 7.805638481656668 7.805638481656696 8.787450510072134 8.787450510072135 9.363928483122917 12.071905087164517 12.221877404194514 13.872406906337254 15.800149087984396 15.800149087984753 15.949354126364414 17.872505132565575 18.079598565832985 18.47645562174803 18.47645562174847 18.867403735240245 18.867403735240664 19.45674166788844 19.588422263389578 19.88199875109957 
0.0 0.25 0.0 -14.52531283528422 -11.247449123984145 -10.003751124270742 -9.377402728836572 -9.377402728836545 -8.305450691426499 -6.100663414147482 -3.566436347383701 -3.5664363473836818 -3.26735589260811 -2.251080687117163 -2.1998668583902092 -1.7253792635926322 -1.7253792635925962 -0.28457234215615823 0.49763340914627224 2.432289425641578 3.183217979552507 3.2312373703182837 3.231237370318288 4.805031145987897 4.805031145987903 6.125506666336719 7.4173498953275 7.879579638268732 7.879579638268765 8.40962696747151 8.409626967471516 9.35527556840887 12.258458727260848 12.554037638230069 13.955605045729369 15.837750215288048 15.837750215288496 16.1231821405564 17.40674402305304 17.75657452050899 18.464495217930555 18.46449521793153 19.10069397559397 19.100693975595718 19.30798306737311 19.446646095193337 19.891716325666106 
0.0 0.3125 0.0 -14.446715613174787 -11.531143771636609 -9.999585550745266 -9.354154558196441 -9.354154558196429 -8.083061534021992 -5.989839311174519 -3.7398414389574186 -3.739841438957414 -3.219580200581628 -2.229219739711566 -2.1388157577481937 -1.6414616313244363 -1.6414616313244306 -0.6270326431196126 0.5104128478255936 2.4027378510160227 3.029541361253806 3.5725358341758193 3.572535834175833 4.793098892368899 4.793098892368922 6.41365771261494 7.328475794198863 7.75856597612973 7.758565976129739 8.165857521979852 8.16585752197989 9.34760670856848 12.430486281595748 12.956996580716943 14.106446003764093 15.874065263416966 15.87406526341705 16.27481898737936 16.853738584063255 17.434048670512514 18.451827022918735 18.451827022919407 19.195229136421236 19.27581070596413 19.323915772147057 19.323915772148407 19.920169757355634 
0.0 0.375 0.0 -14.372890122146897 -11.754503610840649 -9.996517964475045 -9.334001148139572 -9.334001148139484 -7.923436505390515 -5.902136420646787 -3.8745655517374424 -3.87456555173743 -3.1010042747677016 -2.2583575783206036 -2.067493639956413 -1.5821335038136792 -1.5821335038136677 -0.9626965915047723 0.5193074947716069 2.3553776784632174 2.941321202912498 3.844845754885233 3.8448457548852506 4.888887394600454 4.88888739460046 6.660245870534818 7.235383560940771 7.345076616404901 7.34507661640491 8.180945426934443 8.180945426934452 9.340707088006944 12.550500976042406 13.402545920542602 14.358541652316003 15.902311433164012 15.902311433164341 16.19790342126096 16.273403748836383 17.322766678037556 18.441887282937326 18.441887282938076 19.056769364075702 19.116382652600013 19.50025101311523 19.50025101312018 19.96962175540062 
0.0 0.4375 0.0 -14.318736806087946 -11.900032535047561 -9.994302988693518 -9.320286339603364 -9.320286339603308 -7.828824820871176 -5.849135828151718 -3.959496740137512 -3.95949674013743 -2.9518678176349504 -2.276037038901046 -2.0526469705401396 -1.5476342685144036 -1.5476342685143463 -1.2195878981595414 0.5246588808270586 2.3148589976924887 2.8993255233600235 3.9836661213372473 3.983666121337276 5.091129974485068 5.091129974485089 6.843394595979765 6.942968942909871 6.942968942909872 7.139581255078814 8.220312661947865 8.220312661947888 9.337280132496227 12.61245619884971 13.832305625716206 14.690840630750719 15.755280564133118 15.856476893757293 15.920352363755935 15.920352363756185 17.465582140211758 18.43419719587395 18.434197195874585 18.8299067186678 19.06765821059959 19.606226867788273 19.606226867792333 20.025257080218186 
0.0 0.5 0.0 -14.298646508385776 -11.950885711359955 -9.994053167629254 -9.316008266896613 -9.316008266896574 -7.79950548585517 -5.831209226682643 -3.990030754300553 -3.99003075430052 -2.874637764846344 -2.285224550544204 -2.0652635391747856 -1.537068040963827 -1.537068040963821 -1.3164994551546187 0.525394816856782 2.29875412543921 2.8888998780642416 4.018396295565168 4.01839629556518 5.215451503904857 5.215451503904895 6.758192658926878 6.758192658926881 6.946306924705637 7.064195936269909 8.233336186362978 8.233336186362981 9.334984209959732 12.629853531127067 14.048986180139885 14.918655918965047 15.50468861824095 15.606571202914548 15.925097984409787 15.925097984410002 17.56901755313258 18.431454315425754 18.431454315426343 18.713916548092854 19.050448642030794 19.639565780543496 19.639565780546132 20.052057669659877 
0.0625 0.5 0.0 -14.285004835068959 -11.947654352413979 -10.141256712942152 -9.312156507253354 -9.228903682792543 -7.7193930768115795 -5.837114715555777 -4.05170989627081 -3.98269782764108 -2.8455710063649935 -2.242158912572602 -2.07241395896092 -1.6759239561915606 -1.5382082455896455 -1.177954577152961 0.4816922268424699 2.288508162846687 2.8894862048422323 4.000582785289375 4.08161554548759 5.225355226689675 5.247991577633843 6.69487349031757 6.759877167421444 6.977305887825153 7.101764262798753 8.220731391275724 8.235978987729581 9.268342931410759 12.663645067630654 14.084999698183736 14.854878763928518 15.468042768426693 15.510672768330341 16.013845752716502 16.1059072262912 17.58611561374258 18.404685762823245 18.497910544337422 18.631276356753464 18.954324219693298 19.54700940006688 19.691235830620347 20.083758239290454 
