 4.62278092  4.62278092  4.62278092 90.         90.         90.        
C  2.31139046 2.31139046 2.31139046
C  0.87324324 0.87324324 0.87324324
C  3.74953769 3.74953769 0.87324324
C  3.74953769 0.87324324 3.74953769
C  0.87324324 3.74953769 3.74953769
C  1.65956922 0.         0.        
C  2.9632117 0.        0.       
C  0.         1.65956922 0.        
C  0.        2.9632117 0.       
C  0.         0.         1.65956922
C  0.        0.        2.9632117
-81.49452481
44 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40 bandenergy41 bandenergy42 bandenergy43 bandenergy44
0.0 0.0 0.0 -14.59836865556957 -9.913156952630887 -9.913156952630878 -9.305036510693448 -9.305036510693446 -9.305036510693357 -6.228765137775079 -2.7610107145382408 -2.761010714538215 -2.761010714538207 -2.750342459375124 -2.0190722656162574 -2.019072265616249 -2.0190722656162348 0.7242892019604918 0.7242892019605022 2.5270078825743036 2.527007882574344 2.52700788257437 4.270613991042769 5.0942387213107025 5.094238721310763 5.094238721310773 7.797176721984644 7.797176721984648 7.797176721984656 9.620555290560313 9.62055529056032 9.62055529056033 11.867450499069964 11.867450499070003 13.995339890174757 15.935138242674288 15.935138242674306 15.935138242674427 18.722060221819696 18.72206022181971 18.722060221819756 18.72928734778875 18.729287347788887 18.729287347788993 20.028213812428184 20.028213812428188 20.34743305102766 
0.0 0.0625 0.0 -14.586514980106413 -10.114711143703731 -9.912472202591381 -9.300765347184877 -9.30076534718486 -9.108750756957697 -6.209975351498441 -2.91367255036414 -2.838711737410828 -2.8387117374107746 -2.5851767984145972 -2.0282645709427913 -1.9655379162655042 -1.9655379162654851 0.6688101797539185 0.724920049851216 2.530502127085376 2.5853468716797785 2.5853468716797843 4.115020442026697 5.070970242260168 5.070970242260181 5.256532269845223 7.7777150699962165 7.818557571984171 7.8185575719841856 9.5439157033125 9.543915703312505 9.613946629306742 11.9036969836977 11.918728352167626 14.006153312657709 15.938121977391859 15.938121977392312 15.954337106710485 18.647512817035697 18.67215287129917 18.7198667108906 18.719866710890788 18.772686693701573 18.772686693701623 19.978892769378167 20.000493702561467 20.32535569975436 
0.0 0.125 0.0 -14.550546556691268 -10.462485284607544 -9.909339201785668 -9.287461457334572 -9.287461457334558 -8.778320911631909 -6.1525446125094705 -3.043490781111139 -3.0150349346982117 -3.015034934698208 -2.410868071391905 -2.0461322921526786 -1.8460159853205829 -1.8460159853205653 0.5156171515984163 0.7356480985072794 2.541626891358988 2.758439025322661 2.758439025322683 3.8308337762873057 5.0174079156009626 5.017407915600971 5.582783495568738 7.733590892296893 7.888331624200731 7.888331624200749 9.337905217955019 9.337905217955022 9.611252686918474 12.010025199410402 12.072339753562561 14.03800246971307 15.953796075379186 15.95379607537924 16.026562508709386 18.426572570894702 18.508575071329318 18.714641890981447 18.714641890981724 18.910733734595635 18.91073373459575 19.867411392824216 19.930514044277754 20.287098399355678 
0.0 0.1875 0.0 -14.493673127976756 -10.818597568326615 -9.9057770531174 -9.268126778877582 -9.268126778877546 -8.454759340041594 -6.066124115133482 -3.2244506584575947 -3.2244506584575823 -3.131104958321878 -2.2438850963220713 -2.0768225253070876 -1.7229253283566766 -1.7229253283566706 0.2713149371416333 0.7468630314074927 2.5448187569689327 3.0231725387594777 3.0231725387594817 3.5548063577750995 4.947912090280237 4.947912090280252 5.931593068456975 7.663538654385687 7.980807832211238 7.980807832211306 9.017291845580072 9.01729184558011 9.601488856960305 12.17158541864055 12.320902105251534 14.087446436310591 15.975419728022864 15.975419728023345 16.16116338769038 18.049513342521557 18.235256944865018 18.705944331850677 18.705944331851146 19.107864946149995 19.10786494615033 19.735405877987528 19.822267627842862 20.258880138930447 
0.0 0.25 0.0 -14.420809507104043 -11.149446530586337 -9.901851409746287 -9.244726397258528 -9.244726397258498 -8.171296902620883 -5.961908989612039 -3.4274846908256853 -3.4274846908256325 -3.1563336595232676 -2.1099819768472248 -2.091805746116108 -1.6153807218915885 -1.6153807218915412 -0.03926938160949383 0.7584795992797847 2.532636860449544 3.333776261463693 3.3480573566901644 3.3480573566901684 4.894436234895183 4.894436234895198 6.264651786321602 7.58122348673463 8.06101952598454 8.061019525984577 8.634559774116678 8.634559774116685 9.591594512321493 12.363169308927352 12.655040175782009 14.167752289706993 16.001013010753475 16.00101301075391 16.354090220462087 17.552519020469585 17.876218444978324 18.700304462437753 18.700304462438254 19.33312546238036 19.333125462381158 19.61929444246429 19.686804442468357 20.250948507819217 
0.0 0.3125 0.0 -14.339731685183779 -11.43572287722647 -9.89731958034418 -9.22004374130214 -9.220043741302076 -7.943103595928995 -5.861451497875323 -3.604283547082963 -3.6042835470829298 -3.108070606405142 -2.140908932930492 -1.9639539619636661 -1.5308284941399508 -1.5308284941399186 -0.38763008652986214 0.7713762482947741 2.4948086163139 3.1857341983801355 3.6766381210652743 3.6766381210652814 4.904596152805274 4.904596152805311 6.568201549983568 7.492074566593723 7.964836837926639 7.964836837926644 8.367347916298206 8.367347916298218 9.585394849673559 12.54516173234523 13.060678173018816 14.315566799867131 16.024965294911876 16.024965294912125 16.53931289458211 16.980782319779532 17.50301601300519 18.700673026609024 18.700673026610094 19.517524114874202 19.52599437353563 19.541673350909022 19.541673350911726 20.27301242662942 
0.0 0.375 0.0 -14.263508031144378 -11.663808678797942 -9.893684257754536 -9.19936334637502 -9.199363346375009 -7.778994393358205 -5.786304078417959 -3.74223020694738 -3.742230206947352 -2.990878952937803 -2.1714125284206443 -1.8747866126167712 -1.471962808758073 -1.4719628087580603 -0.7328031505114918 0.7812866789817279 2.442069247102091 3.097853060715263 3.9202314815686594 3.920231481568691 5.033781907087647 5.033781907087649 6.813535527351609 7.395008390314734 7.556639255812923 7.556639255812954 8.375124140367873 8.37512414036793 9.578643356862173 12.6768442606485 13.510556682606273 14.562202238068068 16.041090083791772 16.04109008379207 16.38867810811412 16.459690994902417 17.37631812258474 18.70045408438239 18.700454084383697 19.294931237908244 19.457904569046704 19.694791788308024 19.69479178831509 20.323342360339968 
0.0 0.4375 0.0 -14.207586387689227 -11.811905162066383 -9.891828915454132 -9.18547858327383 -9.18547858327374 -7.681414048292758 -5.741795548167938 -3.8298107197162006 -3.829810719716181 -2.8486879807463064 -2.1893777734508117 -1.8289971982583113 -1.4379594749722457 -1.4379594749722013 -1.0065919394596037 0.787716445358102 2.3976533079213453 3.0563504013467986 4.035902976626241 4.0359029766262475 5.265463505810648 5.265463505810677 7.007963980023132 7.148092131503306 7.148092131503309 7.294902839131861 8.41462077204974 8.414620772049771 9.57449627252104 12.74517958966188 13.945954512115517 14.896565795646799 15.860223494637486 16.049684027439003 16.049684027439255 16.070036351966262 17.544124411474026 18.700264756028282 18.700264756028645 19.070608820942375 19.415349087416978 19.77982838779279 19.77982838780019 20.384338663883714 
0.0 0.5 0.0 -14.18659756079107 -11.863723717291897 -9.89045353442024 -9.179874534364545 -9.17987453436452 -7.646081762932519 -5.728379811178613 -3.8583608084490972 -3.8583608084490733 -2.7784201716083 -2.193386590454776 -1.8199963937950574 -1.4253070226707765 -1.4253070226707538 -1.1125697020181986 0.790531350047346 2.381431262085897 3.044714568254117 4.066636215955896 4.066636215955911 5.40289016865282 5.402890168652849 6.9622297930974675 6.962229793097476 7.1316332373979385 7.204082154758768 8.433084153622966 8.43308415362302 9.573829206885591 12.766980439034981 14.170052055409831 15.137262988995335 15.605457607600387 15.793418133832892 16.053735837833436 16.05373583783363 17.654535748682243 18.70236659029223 18.702366590292627 18.962881342055862 19.400418187679144 19.80626132074919 19.80626132075063 20.418716148791486 
0.0625 0.5 0.0 -14.172723762395787 -11.860274128920395 -10.035071141838738 -9.176269293628904 -9.096747720027356 -7.569836902449862 -5.733627501070851 -3.9249558739632446 -3.8504623496711488 -2.7475408458441772 -2.1504841158924153 -1.8316717592708927 -1.5439605285668474 -1.4242946849357028 -0.9967639993267167 0.7444595113273342 2.3717486569659947 3.038761660321297 4.049564128482624 4.136717930544103 5.412196549155715 5.433653404874902 6.88757235950109 6.963361248523841 7.160490951947096 7.250095248595608 8.416991121807037 8.433693674099352 9.506081029949275 12.801408475678986 14.20466404936501 15.065590016638263 15.574512177579987 15.667597130883221 16.18106214704952 16.23253463282701 17.663215193540484 18.675356244011045 18.765680674430428 18.862385415744743 19.302627417991776 19.743028166758716 19.869904300298405 20.403465130612055 
