 4.31869408  4.31869408  4.31869408 90.         90.         90.        
C  0.         1.45864057 1.00269435
C  0.         2.86005351 1.00269435
C  0.         1.45864057 3.31599972
C  0.         2.86005351 3.31599972
C  1.00269435 0.         1.45864057
C  1.00269435 0.         2.86005351
C  3.31599972 0.         1.45864057
C  3.31599972 0.         2.86005351
C  1.45864057 1.00269435 0.        
C  2.86005351 1.00269435 0.        
C  1.45864057 3.31599972 0.        
C  2.86005351 3.31599972 0.        
-78.35878483
48 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40 bandenergy41 bandenergy42 bandenergy43 bandenergy44 bandenergy45 bandenergy46 bandenergy47 bandenergy48
0.0 0.0 0.0 -11.352972703200344 -5.981093785278012 -5.98109378527801 -5.114763214820394 -5.114763214820337 -5.114763214820323 -1.3203898992162235 -0.5562666490069536 -0.5562666490069222 -0.5562666490069168 0.8724028719065625 0.8724028719065852 0.8724028719110822 2.0950074435723685 2.0950074435724075 4.04337401893034 4.043374018930355 4.043374018930358 6.106374413134705 7.542832196628097 9.994954034309808 9.994954034309812 9.994954034326174 11.929616730276923 11.92961673027694 11.929616730276946 13.728252651999313 13.728252651999373 13.948213282764018 13.948213282764023 13.948213282764051 16.616603385126165 16.616603385126165 16.61660347754226 16.942643426814048 16.94264342681434 16.942643426814602 19.026154258861446 19.927148390067085 19.927148390067167 20.321499664609558 20.321499664609597 20.32150981288333 21.384835540119184 21.384835540119305 21.384835540119305 26.3517645151531 26.3517645151531 
0.0 0.0625 0.0 -11.331545670714064 -6.2539692205489334 -5.967875097583314 -5.099308759040332 -5.094557014302274 -4.863628787605758 -1.2833160940443904 -0.7442086220615066 -0.6210065625462398 -0.5677792002245591 0.7552200302271821 0.890095107950697 1.0628024724970546 2.0289679952485216 2.1803005454329862 4.051547944087596 4.065576950142324 4.212528001201248 5.99276479159518 7.621414834568877 9.93092911387902 9.933881608988685 10.145035663632935 11.763366540642943 11.978477585850824 11.983525145499495 13.527981214756704 13.714596768670742 13.913073438669663 13.933957800226677 14.121490937404381 16.492437413643376 16.557081933634826 16.625501220345864 16.857329006056766 16.934676924133942 16.952995806171078 19.062159939133696 19.676272497602472 19.90580135941643 20.251459860646495 20.268848776944974 20.311109084827862 20.486779239828454 21.449807665446304 21.460440245098738 26.23920086916943 26.383401547260977 
0.0 0.125 0.0 -11.26779214332575 -6.740830319597383 -5.929027363355433 -5.052914230412028 -5.032703309024649 -4.441401059941192 -1.2453887860265158 -1.1409302297845572 -0.6975532164892355 -0.6067478102299901 0.4795975240225829 0.9449749798855708 1.473241586246636 1.8517168219285383 2.3954497939859527 4.078508729895276 4.136249733492593 4.658035787459248 5.701322595028263 7.862036260409233 9.778304121955655 9.796607644722528 10.551580297224952 11.32292725936172 12.108861223656708 12.126753831177885 13.267707226848787 13.675255857909994 13.804259668150301 13.884364350796014 14.280335199132674 16.22836142409082 16.43239525171336 16.645748429505208 16.64764507197698 16.93499527542199 16.93721803070806 19.10881985679826 19.230248607253703 19.84378367378514 20.020838368930463 20.161332181257716 20.285401485163867 20.703485628370885 21.633071740357025 21.646504544543333 25.977542496727686 26.47565542418091 
0.0 0.1875 0.0 -11.163374987488423 -7.252557073314726 -5.868240435017063 -4.978823679982994 -4.930361264349714 -4.042166216996132 -1.590928323811876 -1.404979822069294 -0.69830822923676 -0.5214039266222883 0.1780548559854491 1.031984931917553 1.6045120025878878 1.937166831989725 2.6534854795543024 4.119476204753594 4.250910889831524 5.266626590920851 5.323474007124094 8.218466011593403 9.593807465571311 9.615811551898847 10.742707800852177 11.13243265994174 12.25303140127671 12.31651628198324 13.009320431295013 13.589865138228388 13.616389200235194 13.753492159420265 14.315336453954224 15.927824494403989 16.265383673033 16.367166184964876 16.684834485669132 16.856003450416928 16.980172241956094 18.684267726567036 19.039162482175673 19.749203075256744 20.07833967925224 20.160532069490475 20.238117594619663 20.87590439227357 21.875594251363772 21.909987949055726 25.627739684748054 26.61677450668246 
0.0 0.25 0.0 -11.022573473087913 -7.746411148335577 -5.791652425570271 -4.884738058548074 -4.789695041810167 -3.707791051872463 -2.0395015399221226 -1.676369789900434 -0.8773851663407558 -0.14101810368817314 -0.04080042919337063 1.1473759490377977 1.3353898812050609 2.3920678508827113 2.8798645596261268 4.161363391130616 4.383089162487495 4.921951623322837 5.96127569086762 8.634175907683733 9.425205009173775 9.426451982276072 10.144042849026555 11.819630291949343 12.325811396606868 12.507956995391801 12.748205438813967 13.406556917578166 13.433161678958053 13.468836302142732 14.241938957404194 15.699751282907293 16.07468742055205 16.07728577246864 16.732128764088888 16.734234833345795 17.101562585296485 18.06876902195709 18.98564067736611 19.64845331302418 20.04298519413244 20.15069238788084 20.431304686475052 21.00757502094943 22.113586764169526 22.25671380414685 25.209454751137642 26.7709913013188 
0.0 0.3125 0.0 -10.852681781097502 -8.199561470245971 -5.707840430621167 -4.78075349830686 -4.615416737358832 -3.4490526766653335 -2.4633541800791092 -1.9419960525749977 -1.12490286214791 -0.15346931980880754 0.30318413805134087 1.1091101161607004 1.2793338809594421 2.8047020342197926 3.0475808096294985 4.192955644472532 4.482283539312649 4.54215982606749 6.689861738235274 9.046785428849631 9.24556306574487 9.313658186871 9.651982020947502 12.24046613225054 12.499673916471068 12.572774516354926 12.67406424224168 13.034072879049107 13.194740462065617 13.287201124863806 14.122781528831718 15.598344545861837 15.813763849079589 15.884602530807237 16.578539941796404 16.754650433775716 17.285862067774218 17.411392089284796 19.01016473197862 19.545832884109316 20.02467313836252 20.058037496239425 20.687617941770206 21.100842572331743 22.351548170991304 22.651122714989807 24.762131155921086 26.91871294422416 
0.0 0.375 0.0 -10.669665728056337 -8.5883960000859 -5.629765805837885 -4.681991322891122 -4.416164574292465 -3.2688112951153276 -2.84501741971096 -2.1509273912895353 -1.363616163273328 -0.20259187399134698 0.5796352461599283 1.1069268024415864 1.4087953716826753 3.143819751095981 3.156144836075034 4.2010338887340986 4.22565233018801 4.491368676005839 7.401416282878411 9.067473874618717 9.214922584760933 9.263498780663936 9.51707337192198 12.014849116048737 12.284709342234118 12.50649336784784 12.820053794250654 12.919834738968238 13.295808169763532 13.35926787650748 14.008478045983825 15.606653676764592 15.615006021182968 15.713175278823753 16.40889390861143 16.50193924488422 16.972626511502245 17.495031527851204 19.083286961473696 19.45375313002267 19.882628846431576 20.109663056902473 20.857062003522202 21.16437355526541 22.588961978912533 23.065442674428912 24.32599070300657 27.04232539618548 
0.0 0.4375 0.0 -10.51042708105666 -8.872708526313504 -5.573520349550969 -4.609479498198792 -4.221519797218294 -3.1683049485868695 -3.1508764107417804 -2.276983625967845 -1.5321674470827218 -0.22252516326823824 0.5463266356718957 1.3877155306700115 1.5087860816600964 3.215158103574975 3.3778202926588476 4.010591224151442 4.1869971957047865 4.415209413024204 8.026772303715088 8.866241438449112 9.091298655807153 9.26008212840457 9.73434930046103 11.797769153446326 12.072088375219481 12.143738905719612 12.683857560119343 12.89874975145584 13.344217226301817 13.927449199896452 14.159924126884176 15.491143418957309 15.592917263954732 15.672146421982532 15.796780532591637 16.262997333995347 16.942104496215585 17.665743574060514 19.15681216961406 19.39325374005069 19.763118643411925 20.16000245389132 20.932253512818146 21.201613337747112 22.80921769968454 23.431444158377985 23.961957319076017 27.123432422092613 
0.0 0.5 0.0 -10.441654062839817 -8.98223623355508 -5.553035787647285 -4.5832311314905585 -4.124193173509051 -3.285449482918447 -3.1383281967782093 -2.318105270444067 -1.5926012291807246 -0.2277658482586928 0.5099439086569041 1.5294454694744535 1.5467836897964453 3.233412577442457 3.4648614362191723 3.9296145812452488 4.173080064178975 4.363550828688904 8.404600618651001 8.659531634016634 9.054831859596609 9.26252956637568 9.818088016348815 11.710723514869223 11.893041203208533 12.102163618137693 12.585355331960585 12.92689487556693 13.366789286946881 13.897108579889256 14.826187979695872 15.142259501127821 15.45050974908117 15.547542825951512 15.71274729132619 16.197432128189543 16.943107705903138 17.732755703663624 19.188616019602033 19.368612525203112 19.72222052457084 20.17878556464767 20.951959219396667 21.212463521509566 22.920955013320572 23.59103750050786 23.79721085572702 27.142483607704847 
0.0625 0.5 0.0 -10.418353226605337 -8.9680350227478 -5.723633451815673 -4.509067032407359 -4.104465586747375 -3.3117932000495607 -3.278165165666023 -2.1939252575922636 -1.4059902028385924 -0.2801345972811735 0.5190429413249552 1.3742604303737587 1.5383263961601084 3.313891824965493 3.3760212070268185 3.9791429919619574 4.388264113109537 4.390907907968471 8.238582505406434 8.548435931657195 9.14265954597905 9.343157202242052 9.81950476239405 11.726185085560772 11.938428727555843 12.181500638110995 12.481911740509501 12.975774621737505 13.35916269916633 13.809030014649386 14.685150634486238 15.134654919087138 15.471731345335765 15.659432761807608 15.70361628328432 16.172759539907457 16.706235398274874 17.89071979966224 19.136545289343182 19.144507677639673 19.90749953991345 20.037460445443248 21.056511093587023 21.17615847187136 23.077190480212764 23.642986157750283 23.88193803902006 27.04870485938737 
