 5.11581372  5.11581372  5.11581372 90.         90.         90.        
C  4.41402408 2.55790686 0.        
C  0.70178964 2.55790686 0.        
C  0.         4.41402408 2.55790686
C  0.         0.70178964 2.55790686
C  2.55790686 0.         4.41402408
C  2.55790686 0.         0.70178964
C  -1.85604302  2.55790686  0.        
C  1.85604302 2.55790686 0.        
C   0.         -1.85604302  2.55790686
C  0.         1.85604302 2.55790686
C   2.55790686  0.         -1.85604302
C  2.55790686 0.         1.85604302
-76.12221569
48 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40 bandenergy41 bandenergy42 bandenergy43 bandenergy44 bandenergy45 bandenergy46 bandenergy47 bandenergy48
0.0 0.0 0.0 -13.968599973840945 -12.712461366786208 -12.712461366785902 -10.931816831814835 -10.931816831814814 -10.931816831814492 -9.174247207581068 -9.174247207581057 -8.444912716010027 -5.65787793547975 -5.506655061966493 -5.50665506196649 -3.545547780146408 -3.545547780146405 -3.545547780146295 -0.8465805740027984 -0.8465805740027966 -0.8465805740027914 1.4350776610984077 1.4350776610984144 1.4350776610984304 2.4143390213136815 2.4143390213137064 2.414339021313722 3.755921231626602 3.7559212316266084 3.7559212316266333 6.19261002380267 6.192610023802687 6.192610023802697 8.983097208207019 9.83319882205045 11.494373089455816 11.494373089458284 11.494373089463265 13.733060543049485 13.733060543049504 13.733066381549605 14.530662914191405 14.53066291420326 14.530662914224472 14.866898633593369 14.866898633593404 14.86689863359343 16.588334451547254 16.588334451547276 19.285456097072135 19.285456097072213 
0.0 0.0625 0.0 -13.958109522992382 -12.726113145545733 -12.701818321338687 -10.973208772399806 -10.93204163288909 -10.93204162191178 -9.172259483980204 -9.135228461247658 -8.43575965875838 -5.669541389396191 -5.522498893452789 -5.511288287596634 -3.537668446948439 -3.5376667450853865 -3.5075141031084565 -0.8659538049131804 -0.8534055274335106 -0.8533964574570841 1.41668972695296 1.4167036491767908 1.4432615992625082 2.2893155685798012 2.289318738426855 2.4021601948713256 3.761322039245874 3.918314701444237 3.9183282537888497 6.140007035916641 6.234191945029747 6.234194155627072 9.020654350887558 9.873328863963039 11.493147403764143 11.493167262943837 11.524650767026388 13.675588403234332 13.675636940053222 13.691675320515293 14.470150137726046 14.4701894043461 14.535890391462454 14.824291336788743 14.824314490042257 14.864608542614024 16.554140690010527 16.64332116038053 19.04553907373553 19.045585513384083 
0.0 0.125 0.0 -13.927292708147966 -12.76646070202881 -12.671425564577504 -11.090117389548029 -10.929952955078088 -10.929952888207131 -9.165738616168847 -9.044309380067999 -8.393168183395241 -5.710908138430295 -5.557297515301925 -5.520930648233565 -3.5138395650062 -3.513832772890077 -3.403211830284463 -0.9261929490562277 -0.8705889952419348 -0.8705532392693834 1.33248816266556 1.3325531145199723 1.4665149342787718 2.076402666942267 2.0764139034641302 2.369035565966048 3.7773825555248126 4.264819997089748 4.264858920540156 5.99794895563005 6.3717109237789655 6.3717176479722095 9.131454677450717 9.990817893346973 11.487315969746417 11.487395849943521 11.613027946764653 13.533728935090588 13.533904190132773 13.569543897341745 14.18601987854451 14.186105092345155 14.550403233242461 14.796169514755192 14.796205681635316 14.858476974358213 16.44341442186926 16.791126521139294 18.6309861338347 18.63127891885543 
0.0 0.1875 0.0 -13.876747918785284 -12.83121342918654 -12.621359528245252 -11.248423006304426 -10.927005474898532 -10.927005354669998 -9.154684364015795 -8.961116829104876 -8.283958763698955 -5.809524115091259 -5.578786662881146 -5.531027451278994 -3.477423621243744 -3.47740806241083 -3.2420511213119583 -1.0239977529914752 -0.8925952188196571 -0.8925136683444849 1.1299294916597302 1.1300730986631888 1.5092454798367985 1.9611922388559146 1.9612352437695222 2.3212272887984775 3.810965097838796 4.62951172132982 4.629570638197882 5.781855485088533 6.635582157753265 6.635587891276464 9.310058703885817 10.174262654953628 11.475783587360203 11.47596101085148 11.75325383985069 13.351410231161058 13.351768111105114 13.383682475612915 13.681665725541512 13.681789083046539 14.571071450164974 14.801339061524335 14.801366751258014 14.846374287770143 16.250267921515665 16.92503359027029 18.382793899720557 18.38317025109207 
0.0 0.25 0.0 -13.807651705440552 -12.91815040835862 -12.552238523205409 -11.426687536707922 -10.925254059653048 -10.9252538564796 -9.13956866160338 -8.92690808866035 -8.091428738108025 -5.968715541687235 -5.586198531967287 -5.543145938887627 -3.4352301786265342 -3.435203314938742 -3.0357890526211473 -1.1657036207226854 -0.9101357718734416 -0.9099893909924398 0.8487866357435966 0.849007086614391 1.5646722106521103 1.9505110075671925 1.9505728375608138 2.2545241894645196 3.8643400035420634 4.927517608144185 4.9275845375635035 5.518237376862947 7.044077182916892 7.04408671417348 9.547219743792034 10.402091469231657 11.457261392018086 11.45756625254969 11.93334985458032 12.984467232018753 12.98450007466528 13.147842835758425 13.206262636927816 13.206630178239228 14.599774982903233 14.80888806949466 14.80890606728926 14.830400578324216 15.982601477491858 16.58914889444818 18.230633938820993 18.23068647116008 
0.0 0.3125 0.0 -13.72175416647572 -13.021796491821119 -12.465099771376382 -11.606223923073717 -10.92362483845394 -10.92362458080588 -9.119586220836789 -8.933578175827922 -7.836723235164078 -6.17478901052967 -5.591279527277491 -5.553725396337532 -3.3913394177818277 -3.391299592352235 -2.7941210287734584 -1.334529013040478 -0.9193816591926132 -0.9191495879525439 0.5676283505998413 0.5679320053154793 1.6321104839871348 1.9783114108011497 1.9783826392092516 2.173798867326552 3.943365181950593 5.136655857760347 5.136719607784527 5.2302920257246255 7.594956997473707 7.595002840487196 9.829618443190695 10.637753650552693 11.429250827426674 11.429689248067696 12.133041873971193 12.251583747350987 12.251707159433064 12.906380319419187 13.040179992421434 13.040851220086768 14.632153147476341 14.80357791135956 14.803586164922285 14.8174201749033 15.672509952219832 16.012644294912768 18.228624637985256 18.22878786809546 
0.0 0.375 0.0 -13.620731392405979 -13.1384474005993 -12.359399559121405 -11.781957333449045 -10.922245815074845 -10.922245517137279 -9.094336711010879 -8.960627166086544 -7.554039671797999 -6.408647485251504 -5.589548352448726 -5.563074896919373 -3.351633316563297 -3.351580858178816 -2.5367315379670323 -1.5321306516972548 -0.9152867529189602 -0.9149526665748999 0.3327245759172631 0.3331223641869024 1.7123782459639658 2.0155956854192048 2.0156718782688143 2.08558084906095 4.062029499721487 4.938993291357589 5.269958267968145 5.270015282721365 8.247786713493277 8.247901120336355 10.139155650247638 10.81488095929701 11.315734131506272 11.316100487614161 11.55626329994088 11.556668765469556 12.32796855387453 12.692833320502546 12.925037998035137 12.92589350693308 14.666826582619207 14.79581726328402 14.799039116688474 14.799040258583636 15.366481718261111 15.516742298198908 18.224593916533408 18.224661318628456 
0.0 0.4375 0.0 -13.507959840901288 -13.262161587475093 -12.236852333328125 -11.947368228828857 -10.918389615107245 -10.918389293227534 -9.063775767037905 -8.995211612290344 -7.259996489752643 -6.6749264618474005 -5.586405599665576 -5.5716136463362975 -3.32454156321385 -3.3244798580739587 -2.271030938125105 -1.760982406618173 -0.9019801167642657 -0.9015501669691214 0.17460329797103277 0.1750899795837947 1.803542946146791 1.9927512039596589 2.0403880063398208 2.0404671271310963 4.22230330942263 4.666880897650068 5.345631000246128 5.345682959133171 8.956211237443828 8.956495249340799 10.447547914183447 10.634941364461925 10.635294169260183 10.849532479350605 11.429747303008668 11.430425825740084 12.470533458822903 12.57351684218401 12.861559813463906 12.862532075630543 14.700605359577278 14.76819487756004 14.791299622985248 14.791308502842334 15.129836710815345 15.174741628277047 18.207707824573752 18.207777726362814 
0.0 0.5 0.0 -13.387160436907958 -13.387110873420326 -12.100131906708171 -12.099761436527462 -10.918856856414196 -10.918856535213104 -9.031203354023543 -9.031160979170945 -6.962077693269881 -6.961325154170156 -5.578084045312347 -5.578037952605481 -3.315266580730073 -3.3152014736416984 -2.0098402155647572 -2.0097653383380103 -0.8960606603549036 -0.8955869378164893 0.11533447407558974 0.1158621079329989 1.896928557250327 1.8969287245886888 2.0491546806511614 2.049234951173377 4.423013712474911 4.42307443777175 5.369349612977941 5.369398962182872 9.503342207854908 9.504291630394222 10.06865898030777 10.069674588723958 10.707742766427476 10.70795615009859 11.417221912099313 11.417935895585803 12.532145927519847 12.534162279962146 12.83802719752273 12.83904161303474 14.738075447600492 14.738117791219326 14.788529708040546 14.788541131662297 15.04438722849197 15.04524932403251 18.19666252420742 18.196734333053094 
0.0625 0.5 0.0 -13.38017549519061 -13.376634766379386 -12.10909579638792 -12.102490808520265 -10.966958402831642 -10.918809574615478 -9.034109762289905 -8.969700393613829 -6.966380069420463 -6.962053267995068 -5.60770932839999 -5.579808185448122 -3.299899797890944 -3.2832393966637348 -2.026392381467972 -1.9931343131292076 -0.908356042960449 -0.8800126781731021 0.07340269194308811 0.09749837258969246 1.786215285743896 1.9143862792216506 1.9224289578967497 2.1427259141469723 4.429824429721868 4.5656952162096855 5.3651997154024205 5.466286274174473 9.481866496507331 9.507049568327947 10.038670218358275 10.067741063241717 10.74780742887917 10.750325643140501 11.419114589249611 11.441605381190273 12.440900092161433 12.553204881498544 12.8028745405775 12.922790966221733 14.60146110149852 14.63485333203635 14.737846126329417 14.797695857719697 15.036610987890649 15.066943986325652 17.985899052232266 18.044997562047374 
