 4.11229628  4.11229628  4.11229628 90.         90.         90.        
C  0. 0. 0.
C  2.05614814 0.         0.        
C  0.         2.05614814 0.        
C  0.         0.         2.05614814
C  1.33400263 0.         2.05614814
C  2.77829365 0.         2.05614814
C  2.05614814 1.33400263 0.        
C  2.05614814 2.77829365 0.        
C  0.         2.05614814 1.33400263
C  0.         2.05614814 2.77829365
-63.291615
40 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40
0.0 0.0 0.0 -11.033653425617096 -6.660496216829627 -6.6604962168296264 -3.7605926799323397 -3.760592679932334 -3.760592679932327 -2.196720423695467 -1.5759189212327285 -1.5759189212326916 0.4089379508894153 0.4089379508894154 0.40893795088943774 2.6022547420672235 4.782628903930621 4.782628903930673 4.782628903930682 9.07600030358149 9.076000303581491 9.076000303747547 10.11053382386314 10.11053382386315 10.110533823863172 12.429701587460992 12.429701587461064 12.429701587492358 13.55869342527166 13.558693425271672 13.558693425271692 16.464654178899902 17.57864131589493 17.578641315894934 17.578641315894977 18.197678208771183 18.19767820877123 18.19767820877123 18.804129115920425 18.804129115920468 23.504812768035194 28.0502295285963 28.050229528596837 
0.0 0.0625 0.0 -11.009465309301653 -6.74987315865267 -6.642415748333123 -3.774768453579443 -3.7564419391326904 -3.751294058653893 -2.1629277315573234 -1.6490061177211477 -1.5832678390104984 0.38239280346876076 0.4187135372201244 0.5628342713492698 2.511284767182448 4.666437342966955 4.767759163926286 4.919400272286124 9.067746759254309 9.094547453214497 9.19482506748888 10.014662149851931 10.025972945374177 10.091845645912855 12.379644366611195 12.492025588639558 12.524263802756034 13.388647881466863 13.605722846583735 13.687887134899729 16.39464397050274 17.337317392168327 17.548760496142986 17.57584030187584 17.92738072504159 18.157502939242605 18.171954675233234 18.94592865175256 19.234823445580588 23.5638080899313 28.06366392126451 28.955718460414936 
0.0 0.125 0.0 -10.936691355420969 -6.994293853381625 -6.586831015850552 -3.794234059819758 -3.7301362759675354 -3.709640495505878 -2.2556158454867226 -1.685180460299117 -1.511031183337105 0.3085633643892185 0.4561223219744718 0.9161989736867016 2.345091827582419 4.369304430907599 4.7422311362615135 5.261926560529132 8.911173248694846 9.158986868300227 9.42263928575674 9.88113987404287 10.006730726196112 10.047718733024832 12.254939164736433 12.613004623377032 12.748059254497818 12.964773203997359 13.789953013494546 14.093244133190357 16.054450982848202 17.00358670850992 17.48839127453308 17.58793497397679 17.658636881148958 18.070346239417024 18.127838724054776 19.19440227225245 19.947137833425487 23.74938025865221 28.08056630879168 29.042243308899046 
0.0 0.1875 0.0 -10.816367399851552 -7.344511942601473 -6.496303857268535 -3.8214700585673147 -3.690100670391236 -3.6449428042492746 -2.5267006461990844 -1.744562182852793 -1.1959644420294515 0.19212133754100708 0.517109357817889 1.205383470831643 2.345531330183908 3.975181920799525 4.732940274696512 5.68231038304178 8.504776175868907 9.26337341041495 9.276970884965525 9.995451533089874 10.192529132776611 10.253328108174621 12.059564851014342 12.376369806870745 12.715804491421526 12.96539656962828 14.113237546374544 14.666941431659346 15.468508315465865 16.57443818584655 17.39674067697409 17.58424934881206 17.724581593275357 17.953887142575937 18.060239252749454 19.411472831827883 20.644878858203985 24.073247653576974 28.0903208187639 29.18642974173944 
0.0 0.25 0.0 -10.64970301074675 -7.749885448804609 -6.374180919738553 -3.88796569840908 -3.640749076079615 -3.562792104314651 -2.7621500012593283 -1.8504741230132364 -0.7990561113757368 0.047520024561440534 0.6009243756527399 1.2078541121769288 2.7409149770734875 3.557678973910319 4.766801050730957 6.081588520481641 8.005767895490232 8.98827981834328 9.408195344978335 9.93227147013902 10.641707138418324 10.703925561467715 11.769260059525056 11.819007112091327 12.815467235303371 13.142694629174027 14.531649917945195 14.807486841930439 15.285130562332597 16.049432628776263 17.297699021130832 17.496634391236668 17.923299615195017 17.978208032254006 18.008290617585033 19.5703222744865 21.23378843558504 24.548699392981845 28.068260770685495 29.27434219800939 
0.0 0.3125 0.0 -10.440852940843055 -8.171843922650336 -6.229108742221113 -4.03538729999714 -3.589238523766744 -3.472871907529319 -2.861425786889979 -1.990571458655603 -0.41768165684803776 -0.10654200483365868 0.7010307215321157 1.0688665890501783 3.168364561997755 3.378074966500416 4.858740789949563 6.350656747603054 7.508504847145515 8.72297302198214 9.584350103844875 9.808362233408502 11.054047091934477 11.206735098613548 11.343549042871256 11.55023660735821 12.929140438859903 13.285485205139498 14.12740333146096 14.96690798110571 15.540513255818222 15.838818213063075 17.210814224066844 17.290977905539933 17.887855517094525 18.039534401795123 18.36555151648777 19.660920581343444 21.67654852786677 25.15174887568437 28.0082504413364 29.029800344534635 
0.0 0.375 0.0 -10.19864305974998 -8.580352263591157 -6.0784224395499775 -4.241002431079552 -3.5442281483447773 -3.3895404814739467 -2.8245288452059256 -2.1595028027370256 -0.24695377033275598 -0.09968116937096527 0.8044318795826867 0.9268007523302852 2.8386520426347865 4.09597741189068 4.990090301457081 6.378769710625421 7.067053270334561 8.517032498410902 9.553919112109089 9.77815041994411 11.28103861505526 11.306989942718175 11.396831519923513 11.617342620048364 13.062549040121889 13.400179184149469 13.44500984193572 15.130014885032493 15.335748625385829 16.250069188959436 17.05066614021844 17.155256871058878 17.797809620309067 18.24442852366564 18.719592477885826 19.679352561417744 21.971542860481463 25.775686071765584 28.579202840092282 28.81937763197994 
0.0 0.4375 0.0 -9.948227614529381 -8.933931912138565 -5.951559173698259 -4.420526619105362 -3.514019287783447 -3.330790875457526 -2.7032321904879755 -2.343029601475333 -0.34524330196728287 0.11195646389732092 0.8269971933143092 0.8888427310344816 2.610919430808151 4.825714830246787 5.126296329873377 6.125318555263466 6.73767230071363 8.385930420966417 9.315804370848202 9.954402582174765 11.049723345669722 11.612876678822527 11.61830223332303 11.88861733584996 12.77172207343114 13.188554570043202 13.474479529678437 14.857914786578482 15.578253505082447 16.49477487595547 16.838521176964854 17.129815567460827 17.72868112024334 18.451386881789773 19.009908080202887 19.637248020281103 22.14250902441018 26.29113146085338 28.261175947670253 28.69372087569744 
0.0 0.5 0.0 -9.807457249566562 -9.109874754101766 -5.89919755166713 -4.49348007444905 -3.5021188418587608 -3.3082160265318965 -2.5665629179118477 -2.4975192346744977 -0.3795507480619067 0.19458748319574165 0.7906185816550777 0.9243778468890161 2.528285750689575 5.19112021872463 5.339428713022653 5.774457443936143 6.608979073732345 8.341580210280611 9.228121787778253 10.037069595727207 10.950686910190958 11.692427458585739 11.985154435323043 12.068149722285948 12.211529081609928 13.241655660147043 13.505374250534237 14.764234331974004 15.661885489210018 16.60199109392898 16.727389612813116 17.12760814991913 17.706511438155594 18.54604506280618 19.1397335784684 19.595116243406235 22.199730408071527 26.49662034757632 28.14962177444096 28.627212638935514 
0.0625 0.5 0.0 -9.783669049809069 -9.089958598150274 -5.957230083024864 -4.5552831028562535 -3.6328983341411325 -3.3042309667127046 -2.5253274319762022 -2.368696661239396 -0.3528550658221895 0.1208842925236617 0.6175017563473703 1.1209465245727919 2.7415184652791047 5.050499896125028 5.337643700309846 5.778841639108265 6.549689616334835 8.266808946296264 9.208416944235935 10.180209271804328 11.034610113915951 11.627351144471284 11.706878233776424 12.211994375987464 12.476715291437706 13.244817563331825 13.35074204871529 14.766351293285103 15.58748850016903 16.588747712996998 16.70997758160915 16.966965068114444 17.59117176635034 18.521174714017377 19.203838539386346 19.915200342076993 22.211946009833383 26.526766683453133 27.914020511003862 27.958362400161036 
